epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9261,0.72326,4.6822,0.94095,0.0032,0.81083,0.21409,0.19013,0.52679,4.23116,0.84611,8.181e-05,8.181e-05,8.181e-05
2,143.781,0.6917,3.99791,0.89261,0.00413,0.97802,0.42679,0.3789,0.56045,3.88377,0.81484,0.000168526,0.000168526,0.000168526
3,217.583,0.66097,2.96051,0.87223,0.00437,1,0.65104,0.55294,0.54367,3.58293,0.81292,0.000238689,0.000238689,0.000238689
4,289.307,0.65873,2.39585,0.85483,1,0.12891,0.77683,0.67765,0.55113,3.33227,0.81837,0.000282174,0.000282174,0.000282174
5,358.341,0.64625,2.07138,0.84116,0.96708,0.57757,0.93197,0.78459,0.57195,3.02423,0.81314,0.000293063,0.000293063,0.000293063
6,428.285,0.61878,1.89707,0.85512,0.9409,0.76268,0.99429,0.84503,0.52944,2.88521,0.80984,0.000270837,0.000270837,0.000270837
7,498.967,0.58939,1.82454,0.85252,0.90871,0.764,0.9925,0.8778,0.48742,2.74523,0.80322,0.000220801,0.000220801,0.000220801
8,570.993,0.54102,1.70803,0.84419,0.9101,0.88201,0.995,0.89369,0.47407,2.42336,0.80464,0.000153709,0.000153709,0.000153709
9,641.119,0.52418,1.68033,0.84248,0.88661,0.98663,0.995,0.88095,0.46117,2.15942,0.80466,8.45711e-05,8.45711e-05,8.45711e-05
10,711.777,0.49677,1.59654,0.82286,0.89682,0.98978,0.995,0.88819,0.45694,1.89035,0.80563,3.08012e-05,3.08012e-05,3.08012e-05
