epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.145,0.84732,8.35362,1.03894,0.38873,0.44665,0.48697,0.44159,0.52151,18.9299,0.87859,8.181e-05,8.181e-05,8.181e-05
2,423.74,0.66763,2.75565,0.95279,0.87715,0.8629,0.9338,0.81744,0.4546,2.30859,0.82394,0.000168526,0.000168526,0.000168526
3,608.997,0.64171,1.77794,0.91945,0.88639,1,0.96869,0.88648,0.4209,1.72696,0.82108,0.000238689,0.000238689,0.000238689
4,792.752,0.5723,1.31995,0.89532,0.94353,0.9344,0.9925,0.92,0.43848,1.34341,0.84701,0.000282174,0.000282174,0.000282174
5,960.953,0.58773,1.12204,0.89263,0.89268,0.91843,0.97833,0.87017,0.47675,1.13944,0.86585,0.000293063,0.000293063,0.000293063
6,1138.95,0.55547,0.96443,0.93326,0.91422,0.97959,0.98773,0.88673,0.48796,0.91555,0.87426,0.000270837,0.000270837,0.000270837
7,1306.84,0.53794,0.84336,0.88451,0.96738,0.99211,0.995,0.90007,0.43314,0.68514,0.85915,0.000220801,0.000220801,0.000220801
8,1475.22,0.52903,0.7189,0.89664,0.93126,0.97997,0.995,0.90631,0.4325,0.57359,0.85847,0.000153709,0.000153709,0.000153709
9,1644.08,0.47903,0.74384,0.88066,0.9473,0.96144,0.995,0.90491,0.4284,0.5549,0.86231,8.45711e-05,8.45711e-05,8.45711e-05
10,1813.21,0.48822,0.64138,0.88583,0.95469,0.98366,0.995,0.91996,0.41795,0.53012,0.8592,3.08012e-05,3.08012e-05,3.08012e-05
